Genbank.ClusterNum	PKS_KS	PKS_KR	PKS_DH	PKS_ER
AAAA02040796.1	0	0	0	0
AABT01000076.1	2	0	0	0
AACY020216700.1	1	0	0	0
AACY020309715.1	1	1	1	0
AAEL02000353.1	7	4	0	4
AAEL02000355.1	3	3	0	3
AAIL02000052.1	1	0	0	0
AANH01009513.1	7	2	2	0
AAQM03000512.1	1	0	0	0
AASO01003060.1	2	1	1	1
AASZ01000561.1	1	1	0	0
AASZ01000700.1	2	0	0	0
AATN01000037.1	1	2	1	1
AATX01000468.1	1	1	0	0
AAYK01000264.1	4	4	4	3
AB016763.1	1	1	0	0
AB017641.1	3	2	1	0
AB025342.1	4	1	1	0
AB032549.1	4	3	2	0
AB072444.1	1	0	0	0
AB072445.1	1	0	0	0
AB072497.1	1	0	0	0
AB072893.1	2	2	2	2
AB086653.1	8	8	7	2
AB088224.1	11	9	2	1
AB088224.2	3	2	0	0
AB088224.3	0	0	0	0
AB089954.1	8	7	4	1
AB097904.1	4	3	1	1
AB120221.1	1	1	1	1
AB176546.1	1	0	0	0
AB179766.1	1	1	1	1
AB193609.1	16	13	10	4
AB234233.1	1	1	1	1
AB241068.1	19	18	9	3
AB283030.1	8	4	0	0
AB284188.1	8	7	7	4
AB303063.1	2	2	0	0
AB363939.1	13	14	7	2
AB431632.1	0	0	0	0
AB435553.1	11	10	6	2
AB469193.1	13	12	8	2
AB469822.1	3	0	0	0
AB506492.1	1	1	1	0
AB514562.1	1	1	1	1
AB516321.1	1	1	1	0
AB568601.1	13	13	8	5
AB576490.1	1	0	0	0
AB698636.1	1	1	0	0
AB701578.1	1	1	0	0
AB720075.1	0	0	0	0
AB720726.1	0	0	0	0
AB725683.1	1	1	1	1
AB727666.1	1	2	0	1
AB767280.1	10	11	9	0
AB780371.1	1	1	1	1
AB818354.1	13	12	9	3
AB818840.1	1	0	0	0
AB828671.1	1	0	0	0
AB830104.1	4	3	2	1
AB872925.1	1	1	1	0
AB920328.1	1	2	1	0
AB933566.1	30	13	7	1
AB980240.1	3	1	1	0
AB981314.1	1	1	1	0
ABBC01001561.1	0	0	0	0
ABBS02000266.1	1	0	1	1
ABBT01000036.1	1	0	1	0
ABBT01000061.1	0	0	0	0
ABBT01000117.1	0	0	0	0
ABBT01000172.1	0	0	1	0
ABBY01000018.1	0	0	0	0
ABBY01000328.1	0	0	0	0
ABBZ01000029.1	1	0	0	0
ABCO01000001.1	0	0	0	0
ABCO01000001.2	3	2	0	0
ABDF02000005.1	0	0	0	0
ABDF02000005.2	1	0	0	1
ABDF02000005.3	0	0	0	0
ABEG02000046.1	7	2	0	0
ABEG02010875.1	1	2	0	0
ABIT01004259.1	0	1	0	2
ABIV01002699.1	1	1	1	1
ABIW01001131.1	1	0	0	0
ABLE03033720.1	5	3	0	0
ABQG01000104.1	1	1	1	1
ABQG01000120.1	1	1	1	1
ABQO020646409.1	4	0	1	0
ABRE01016510.1	0	0	0	0
ABRJ01000446.1	1	0	1	0
ABWI01000159.1	1	1	0	0
ABWI01000206.1	1	1	1	1
ABWI01000582.1	1	0	0	0
AC236378.1	7	0	0	0
ACEW01000645.1	4	4	1	1
ACIW01001252.1	0	0	1	0
ACIW01001482.1	2	1	1	1
ACJE01000001.1	0	0	0	0
ACJE01000001.2	1	2	1	1
ACJE01000001.3	0	0	0	0
ACJE01000001.4	3	1	1	2
ACJE01000001.5	0	0	0	0
ACJE01000001.6	1	1	1	1
ACJE01000001.7	1	0	0	0
ACJE01000001.8	0	0	0	0
ACJE01000001.9	0	0	0	0
ACJE01000003.1	0	0	0	0
ACJE01000003.2	1	1	1	1
ACJE01000003.3	1	1	1	1
ACJE01000004.1	0	0	0	0
ACJE01000004.2	0	0	0	0
ACJE01000004.3	1	1	1	1
ACJE01000004.4	2	3	2	1
ACJE01000004.5	0	0	0	0
ACJE01000004.6	0	0	0	0
ACJE01000008.1	1	1	1	1
ACJE01000008.2	1	2	1	1
ACJE01000008.3	1	1	1	1
ACJE01000008.4	0	0	0	0
ACJE01000009.1	1	1	1	0
ACJE01000009.2	0	0	0	0
ACJE01000009.3	0	0	0	0
ACJE01000010.1	1	1	1	1
ACJE01000010.2	0	0	0	0
ACJE01000010.3	0	0	0	0
ACJE01000010.4	1	1	1	1
ACJE01000010.5	1	1	1	1
ACJE01000010.6	0	0	0	0
ACJE01000010.7	0	0	0	0
